GTIN,GTIN_12_UPC,PRODUCT_DESCRIPTION,INVOICE_UPC_CASE,INVOICE_UPC_PACK,INVOICE_PACKAGE_DESCRIPTION
00740522119681,740522119681,BELLS OFFICIAL HAZY IPA BEER 6 CT 12 OZ CAN IN BOX 72 OZ,11111111111,740522119681,BELLS OFFICIAL HAZY IPA 24/12 CAN 4/6
00858770002454,858770002454,THE OLDE MECKLENBURG BREWERY CAPTAIN JACK PILSNER - 6-12OZ PACK,11111111111,858770002454,OMB CAPT JACK PILS 12OZ/6PK
00086003255067,086003255067,THE PRISONER RED BLEND NAPA VALLEY 12/750ML,08600325506,086003255067,THE PRISONER RED +14 750ML
00083120004004,083120004004,OAK LEAF MOSCATO 6/1.5L,08312000400,083120004004,OAKLEAF MOSCATO 1.5L
00034100572150,034100572150,MILLER LITE BEER 24 CT 12 OZ LONG NECK BOTTLE 288 OZ,11111111111,034100572150,LITE LOOSE BTL
10083120102899,083120102892,FRANZIA CRISP WHITE 5L BOX,08312010289,083120102892,FRANZIA CRISP WHITE HF  BNB 5L
00080686961086,080686961086,JB WHT 375X12 40% W 50ML RED STAG MI,80686961086,080686961086,COURVOISIER VS COGNAC FLASK
00052300025450,052300025450,OLD MILWAUKEE N A MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,11111111111,052300025450,OLD MILW NA 2/12 12 OZ CN
00087000700758,087000700758,SEAGRAMS V O CANDN BTL CAN 1.75 LTR,82000734727,087000700758,SEAG VO WSKY
00087872630375,087872630375,STELLA ROSA IMPERIAL SPARKLING MOSCATO ROSE 12/750ML BOTTLE,08787263037,087872630375,STELLA ROSA ROSE MOSCATO IMPER
00086003000421,086003000421,R MNDVI PVT SEL CABERNET SAUV 750 ML,08600300042,086003000421,MOND MERLOT PVT SEL NL 750ML
10083120103292,083120103295,FRANZIA FRUITY RED SANGRIA 5L BOX,08312010329,083120103295,FRANZIA FRUITY SANGRIA  BNB 5L
00022100002883,022100002883,PABST BLUE RIBBON BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ,11111111111,022100002883,PABST 2/12 12 OZ LN
00638489001968,638489001968,DOGFISH HEAD SEAQUENCH ALE 2/12/12OZ CAN,11111111111,638489001968,DOGFISH HEAD SEAQUENCH ALE 2/12/12 CAN
00082242014373,082242014373,BOTA BOX DRY ROSE 3/3L,08224201437,082242014373,BOTA BOX ROSE DRY 3PK 3L
00082000792574,082000792574,SMIRNOFF SELTZER CHERRY CITRUS & BLUE RASPBERRY MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,11111111111,082000792574,SPIKED SELTZER RW&B 2/12/12 CN
00635985548904,635985548904,WHITE CLAW HARD SELTZER VARIETY PACK MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,11111111111,635985548904,WHITE CLAW 2/12 VARIETY #1 CAN
10082242013748,082242013741,BOTA NIGHTHAWK RED 3LT BOX,08224201374,082242013741,BOTA BOX RED NIGHTHAWK BLK 3PK
00851333006029,851333006029,MANCAN WINE LLC FIZZ WHITE WITH CAN,85133300602,851333006029,MANCAN CARBON WHT CAN FIZZ 375
00857360002331,857360002331,GLACIAL TILL VINEYARD PASSION PINEAPPLE CIDER,11111111111,857360002331,GLACIAL TILL PASSION PINEAPPLE 4/6 12 OZ CN
30085000031224,085000031223,DARKHORSE BUTTERY CHARDONNAY 750ML BOTTLE,11111111111,085000031223,DARK HORSE BUTTERY CHARD 750
00082734001096,082734001096,CONCHA Y TORO CASILLERO DEL DIABLO CENTRAL VALLEY CHILE CABERNET SAUVIGNON 12/750ML,08273400109,082734001096,CASILLERO CAB CLUB 750ML
00684746400210,684746400210,CLUBTAILS SUNNY MARGARITA MALT BEVERAGE 1 CT 16 OZ CAN,11111111111,684746400210,CLUBTAILS MARGARITA 24/16 LOOSE CAN
00087872630122,087872630122,STELLA ROSA MOSCATO D'ASTI 12/750ML,08787263012,087872630122,STELLA ROSA MOSCATO D ASTI 750ML
00635985200253,635985200253,WHITE CLAW HARD SELTZER BLACK CHERRY MALT BEVERAGE 6 CT 12 OZ CAN IN BOX 72 OZ,11111111111,635985200253,WHITE CLAW BLK CHRY 4/6 CAN
00071990095154,071990095154,BLUE MOON BELGIAN WHITE ALE BEER 1 CT 1984 OZ KEG 1984 OZ,11111111111,071990095154,BLUE MOON 1/2 BBL REPEAL
00082734001010,082734001010,CONCHA Y TORO FRONTERA CENTRAL VALLEY CHILE CABERNET-MERLOT 6/1.5L,08273400101,082734001010,FRONTERA CAB/MERLOT SCRW CP 1.
00739958163283,739958163283,FRANCIS FORD COPPOLA SOFIA MONTEREY COUNTY SPECIAL SELECT BRUT ROSE 12/750ML BOTTLE,73995816328,739958163283,COPPOLA SOFIA ROSE BRUT 750ML
00087692009726,087692009726,TRULY TRAY 24OZ CAN TRULY PINEAPPLE,11111111111,087692009726,TRULY PINEAPPLE 12/24 CAN
00078250006189,078250006189,STEEL RESERVE 211 ALLOY SERIES MARGARITA MALT BEVERAGE 1 CT 24 OZ CAN 24 OZ,11111111111,078250006189,STEEL RESERVE WATERMELON 12/24OZ CAN
00818051020744,818051020744,BREAD & BUTTER CALIFORNIA CABERNET SAUVIGNON 12/750ML,11111111111,818051020744,BREAD & BUTTER CABERNET SAUVIGNON 2018 12/750ML
00084279985657,084279985657,BELLA BOLLE MOSCATO D'ASTI 750ML BOTTLE,08427998565,084279985657,BELLA BOLLE MOSC D ASTI NL 750
00860001885781,860001885781,RANCHO LA GLORIA WATERMELON 13.9%1.5L,86000188578,860001885781,RANCHO LA GLORIA WTRMLN 1.5L
00082184226056,082184226056,JACK DANIELS BLACKJACK COLA 4/6/10OZ,08218422605,082184226056,JDCC BLACK JK CL MLT 4/6P NEW 10OZ
00754527010706,754527010706,NEW BELGIUM VOODOO RANGER HOPPY PACK VARIETY PACK BEER 12 CT 12 OZ CAN IN BOX 144 OZ,11111111111,754527010706,NB VR VARIETY PACK 2/12/12 CN
00082100738533,082100738533,THE DREAMING TREE CRUSH RED BLEND 750ML,08210073853,082100738533,THE DREAMING TREE CRUSH 750ML
00088004038694,088004038694,SHEEP DOG WHISKY PEANUT BUTTER 10/12/50ML PET,08800403869,088004038694,SHEEP DOG WSKY P BUTTER 70
10810019263221,810019263224,BLACK RIFLE COFFEE MOCHA ESPRESSO 12/11OZ CAN,11111111111,810019263224,BLACK RIFLE ESPRESSO MOCHA 12PK 11OZ
00081308001333,081308001333,CUPCAKE SPARKLING MOSCATO D’ASTI 12/750ML BOTTLES,08130800133,081308001333,CUPCAKE MOSCATO NL 750ML
00052300025450,052300025450,OLD MILWAUKEE N A MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,11111111111,052300025450,OLD MIL NA 2/12/12CN 6C3500
00087872633956,087872633956,STELLA ROSA TROPICAL MANGO 12/750ML,08787263395,087872633956,STELLA ROSA TROP MNGO 750ML
00086003254008,086003254008,COOPER & THF BB RED BLND/MRTG 750 ML,08600325400,086003254008,COOPER AND THIEF RED BL +14 75
00086003279025,086003279025,CRAFTERS UN CAN RED BLND/MRTG 375 ML,08600327902,086003279025,CRAFTERS UNION RED BLEND   CAN
00084279998183,084279998183,BELLETTI PROSECCO ALDI 750ML BOTTLE,11111111111,084279998183,ALDI BELLETTI PROSECCO 12/750
00080887493850,080887493850,BOGLE VINEYARDS CALIFORNIA OLD VINE ZINFANDEL 12/750ML,89819025596,080887493850,BERINGER CA WHITE ZIN SS ON-PREMISE 15/750ML
00081584131519,081584131519,KENDALL JACKSON VINTNERS RESERVE PINOT NOIR 12/750ML,08158413151,081584131519,KJ P NOIR VR +14 750ML
00635985260233,635985260233,MIKES HARD BLACK CHERRY LEMONADE MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,11111111111,635985260233,MIKES BL CHERRY 2/12PK CAN
00859889006005,859889006005,QUILT CABERNET SAUVIGNON NAPA VALLEY 750ML,11111111111,859889006005,QUILT NAPA CAB
20086003279012,086003279018,CRAFTERS UNION  ROSE 12/375ML CAN,08600327901,086003279018,CRAFTERS UNION ROSE        CAN
00721512005047,721512005047,PACIFIC REDWOOD NV ORGANIC RED FREY 12/750ML BOTTLE,11111111111,721512005047,PACIFIC REDWOOD ORGANIC RED
00034100989309,034100989309,REDDS CRANBERRY ALE BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,34100989312,034100989309,REDDS BLK CHERRY 4/6 NR
00087692821021,087692821021,ANGRY ORCHARD CARRIER 6X12OZ BOTTLES ANGRY ORCHARD CRISP APPLE,11111111111,087692821021,ANGRY ORCHARD CRISP APPLE 4/6/12 BTL
