INVOICE_UPC_CASE,LEN(INVOICE_UPC_CASE),INVOICE_UPC_PACK,LEN(INVOICE_UPC_PACK),INVOICE_PACKAGE_DESCRIPTION
11111111111,11,818051020744,12,BREAD & BUTTER CABERNET SAUVIGNON 2018 12/750ML
11111111111,11,034100989309,12,REDDS BLACKCHERRY 4/6 BTL
11111111111,11,742881000457,12,PETER MERTES 1.5 RIESLING
11111111111,11,833302005417,12,BUTLER POND PINOT NOIR 12/750
11111111111,11,111111111111,12,SCOFFLAW BASEMENT IPA 5.16G
11111111111,11,094799010043,12,GRAHAMS SIX GRAPES PORT
81805102087,11,818051020874,12,FLOURISH ORGANIC RED
70491351073,11,070491351073,12,MOM CE LIME NA
68935200998,11,689352009987,12,KIM CRAWFORD ROSE NEW ZEALAND
08372900154,11,083729001541,12,CH D'ARCINS HAUT MEDOC NIC 750
11111111111,11,867168000477,12,FRANKS RED HOT BLOODY MARY 12OZ 4PK
11111111111,11,096619354429,12,KIRKLAND CALIFORNIA CABERNET SAUVIGNON BIB 6/3L
11111111111,11,857360002263,12,GLACIAL TILL HIBISCUS GINGER 4/6 12 OZ CN
11111111111,11,815829010068,12,CAYMAN JACK MARGARITA 4/6 BTL
11111111111,11,034100001735,12,HAMMS 4/6 16OZ CAN
87521300405,11,875213004042,12,WITTEKERKE FRAMBOISE 4/6PK
29929115091,11,029929115091,12,LICOR 43
08500042210,11,085000422106,12,BAREFOOT BUBBLY PINK MOSCATO
11111111111,11,055555555550,12,ROCKYS GINGER BEER 12OZ PLASTIC
08787263401,11,087872634014,12,STELLA ROSA BLK LUX SPRK 750ML
82242016148,11,082242016148,12,BOTA BOX MINI NIGHTHAWK CHARD
81128001926,11,081128001926,12,WOODFORD RES BATCH PROOF
08678521150,11,086785211503,12,CAVIT P NOIR 1.5L
11111111111,11,087692009719,12,TRULY SPIKED VARIETY 24/12 SLIM CAN
08224201462,11,082242014625,12,GNARLY HEAD LODI ZIN OV +14 75
45898588900,11,458985889004,12,KAMIKI WHSKY 6PK 750ML
08312010039,11,083120100393,12,FRANZIA PINOT GRIGIO VS BNB 5L
85200100906,11,085200001552,12,SUTTER HOME ROSE
85200660735,11,085200600526,12,WINE CUBE RED BLEND TETRA
