,PRODUCT_MASTER_CATALOG_KEY,PRODUCT_DESCRIPTION
260,349367,HACKER PSCHORR WEISSE BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ
261,32276,CAMPARI 750 24°/48P
262,360373,LIBERTY CRK CAL WHT ZINFANDEL 1.5 LTR
263,365297,SHINER RUBY REDBIRD BEER 6 12OZ BOTTLES
264,36854,MCBRIDE SISTERS COLLECTION BRUT ROSE SHEA MOISTURE 750ML VAP
265,342183,BUSCH NA BEER 6 CT 12 OZ CAN 72 OZ
266,348642,PACIFICO CLARA BEER 24 CT 12 OZ LONG NECK BTL IN BOX 288 OZ
267,365433,LA CREMA CHARDONNAY MONTEREY 12/750ML
268,343468,BUDWEISER SELECT BEER 18 CT 12 OZ CAN IN BOX 216 OZ
269,361718,SUTTER HM WHITE WHT ZINFANDEL 750 ML
270,349494,MODELO CHELADA LIMON Y SAL BEER 1 CT 24 OZ CAN 24 OZ
271,357116,BLACKHEART SPCD RUM PRMM 93 PROOF 750 ML
272,343174,NATTY DADDY LEMONADE BEER 24 CT 16 OZ CAN IN BOX 384 OZ
273,365743,FEVER TREE GINGER BEER 6/4/200ML
274,346338,FOUNDERS ALL DAY IPA BEER 6 CT 12 OZ CAN IN BOX 72 OZ
275,30874,KENTUCKY ALE BOURBON BARREL STOUT - CASE
276,364944,BERINGER MAIN & VINE WHITE ZINFANDEL 6/1.5L
277,340704,VIZZY HARD SELTZER VARIETY PACK MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ
278,367243,OAK LEAF PINOT GRIGIO COLOMBARD 6/1.5L BOTTLE
279,71575,ENGINE 15 BREWING CO. OLD BATTLE AXE IPA CASE OF 24 12OZ. BOTTLES 12/24
280,360668,BAREFT BB PK MS SPARKLING OTH 750 ML
281,352810,GODIVA WHT CHOC SPECIALTY LIQ 750 ML
282,365389,RUFFINO PROSECCO 12/750ML
283,347090,OTTER CREEK BERNER IPA BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ
284,131729,TWISTED TEA CARRIER 6X12OZ BOTTLES TWISTED TEA HALF & HALF
285,367510,LITTLE SIP IPA 16OZ CAN
286,365267,KIM CRAWFORD SAUVIGNON BLANC MARLBOROUGH 12/750ML
287,362657,SMIRNOFF SMASH PEACH MANGO 12/23.5OZ CAN
288,343349,BUD LIGHT LIME LIME A RITA MALT BEVERAGE 15 CT 25 OZ CAN IN BOX 375 OZ
289,360528,GASCON MALBEC ARGT MALBEC 750 ML
